antecedent,consequent,support,confidence,lift,antecedent_count,rule_count
time_period=Overnight AND day_type=Weekend AND weather_main=Mist,congestion_category=Low,0.010604519891256978,0.9157706093189965,3.66300642078978,558,511
time_period=Overnight AND day_type=Weekend,congestion_category=Low,0.06441571378172536,0.8860976306023408,3.544316969024238,3503,3104
time_period=Overnight AND day_type=Weekend AND weather_main=Clouds,congestion_category=Low,0.013758897627990952,0.884,3.5359266207354527,750,663
time_period=Overnight AND weather_main=Snow,congestion_category=Low,0.013447610351339572,0.8697986577181208,3.4791224304360493,745,648
time_period=Morning AND day_type=Weekday AND weather_main=Rain,congestion_category=Severe,0.012285471185174425,0.8642335766423358,3.459734431973435,685,592
time_period=Overnight AND day_type=Weekend AND weather_main=Clear,congestion_category=Low,0.021976881731587357,0.863080684596577,3.4522510955968504,1227,1059
time_period=Late Evening AND day_type=Weekday AND weather_main=Clouds,congestion_category=Medium,0.03146076742689937,0.8550479413423576,3.4195530873486755,1773,1516
time_period=Morning AND day_type=Weekday AND weather_main=Clear,congestion_category=Severe,0.02467470479589931,0.8535534816941852,3.4169794485667278,1393,1189
time_period=Overnight AND weather_main=Clouds,congestion_category=Low,0.04922489468113807,0.8526240115025162,3.410425271210405,2782,2372
time_period=Overnight AND weather_main=Clear,congestion_category=Low,0.06958308257413826,0.8512312769738513,3.4048544487041563,3939,3353
time_period=Overnight,congestion_category=Low,0.2163239047875983,0.8487908150802052,3.395092803707964,12281,10424
time_period=Overnight AND day_type=Weekday AND weather_main=Clear,congestion_category=Low,0.0476062008425509,0.8458702064896755,3.3834106117803593,2712,2294
time_period=Overnight AND weather_main=Rain,congestion_category=Low,0.024321912549027744,0.8455988455988456,3.3823251907422236,1386,1172
time_period=Late Evening AND weather_main=Rain,congestion_category=Medium,0.01653973063274327,0.8442796610169492,3.376488009413539,944,797
time_period=Late Evening AND weather_main=Clouds,congestion_category=Medium,0.043538713760972875,0.8435866505830317,3.373716485321981,2487,2098
time_period=Overnight AND day_type=Weekday AND weather_main=Clouds,congestion_category=Low,0.03546599705314712,0.8410433070866141,3.364103414840431,2032,1709
time_period=Overnight AND day_type=Weekday AND weather_main=Rain,congestion_category=Low,0.017784879739348787,0.8377321603128055,3.3508591025975893,1023,857
time_period=Overnight AND weather_main=Mist,congestion_category=Low,0.03505094735094528,0.836552748885587,3.3461415547895554,2019,1689
time_period=Overnight AND day_type=Weekday,congestion_category=Low,0.15190819100587297,0.833902939166097,3.3355425358675785,8778,7320
time_period=Late Evening AND day_type=Weekday AND weather_main=Rain,congestion_category=Medium,0.01191192645319277,0.8294797687861272,3.3172994952690775,692,574
time_period=Morning AND day_type=Weekday AND weather_main=Mist,congestion_category=Severe,0.018947018905513934,0.827742520398912,3.3136519756137224,1103,913
time_period=Late Evening AND day_type=Weekend AND weather_main=Clear,congestion_category=Medium,0.013219333015128561,0.8283485045513654,3.312775283327799,769,637
time_period=Late Evening AND day_type=Weekend,congestion_category=Medium,0.03874488970054164,0.8272042534337616,3.3081991335557035,2257,1867
time_period=Midday AND day_type=Weekend AND weather_main=Clouds,congestion_category=High,0.022288169008238736,0.8267898383371824,3.3051702289658045,1299,1074
time_period=Late Evening,congestion_category=Medium,0.1368626393010563,0.8248905565978737,3.298946074427898,7995,6595
time_period=Late Evening AND day_type=Weekday,congestion_category=Medium,0.09811774960051466,0.8239804810038341,3.2953064518326634,5738,4728
time_period=Late Evening AND weather_main=Clear,congestion_category=Medium,0.04436881316537655,0.823257604928764,3.292415487484634,2597,2138
time_period=Morning AND day_type=Weekday,congestion_category=Severe,0.1003175130221844,0.8216896141424443,3.2894207391112373,5883,4834
time_period=Late Evening AND day_type=Weekday AND weather_main=Clear,congestion_category=Medium,0.03114948015024799,0.8211159737417943,3.2838505624280727,1828,1501
time_period=Morning AND day_type=Weekday AND weather_main=Clouds,congestion_category=Severe,0.026978230643119515,0.8165829145728644,3.268977395075402,1592,1300
time_period=Midday AND day_type=Weekend AND weather_main=Clear,congestion_category=High,0.014941789279266192,0.8172531214528944,3.2670463052472725,881,720
