date_time,traffic_volume,weather_main,hour,weather_severity,cluster
2012-10-02 09:00:00,5545,Clouds,9,0,2
2012-10-02 10:00:00,4516,Clouds,10,0,2
2012-10-02 11:00:00,4767,Clouds,11,0,2
2012-10-02 12:00:00,5026,Clouds,12,0,2
2012-10-02 13:00:00,4918,Clouds,13,0,5
2012-10-02 14:00:00,5181,Clear,14,0,5
2012-10-02 15:00:00,5584,Clear,15,0,5
2012-10-02 16:00:00,6015,Clear,16,0,5
2012-10-02 17:00:00,5791,Clouds,17,0,5
2012-10-02 18:00:00,4770,Clouds,18,0,5
2012-10-02 19:00:00,3539,Clouds,19,0,1
2012-10-02 20:00:00,2784,Clear,20,0,1
2012-10-02 21:00:00,2361,Clear,21,0,1
2012-10-02 22:00:00,1529,Clear,22,0,1
2012-10-02 23:00:00,963,Clear,23,0,1
2012-10-03 00:00:00,506,Clear,0,0,4
2012-10-03 01:00:00,321,Clear,1,0,4
2012-10-03 02:00:00,273,Clear,2,0,4
2012-10-03 03:00:00,367,Clear,3,0,4
2012-10-03 04:00:00,814,Clear,4,0,4
2012-10-03 05:00:00,2718,Clear,5,0,4
2012-10-03 06:00:00,5673,Clear,6,0,2
2012-10-03 08:00:00,6511,Clear,8,0,2
2012-10-03 09:00:00,5471,Clear,9,0,2
2012-10-03 12:00:00,5097,Clear,12,0,2
2012-10-03 13:00:00,4887,Clear,13,0,5
2012-10-03 14:00:00,5337,Clear,14,0,5
2012-10-03 15:00:00,5692,Clear,15,0,5
2012-10-03 16:00:00,6137,Clear,16,0,5
2012-10-03 18:00:00,4623,Clouds,18,0,5
2012-10-03 19:00:00,3591,Clouds,19,0,1
2012-10-03 20:00:00,2898,Clouds,20,0,1
2012-10-03 21:00:00,2637,Clear,21,0,1
2012-10-03 22:00:00,1777,Clear,22,0,1
2012-10-03 23:00:00,1015,Clear,23,0,1
2012-10-04 00:00:00,598,Clear,0,0,4
2012-10-04 01:00:00,369,Clear,1,0,4
2012-10-04 02:00:00,312,Clear,2,0,4
2012-10-04 03:00:00,367,Clear,3,0,4
2012-10-04 04:00:00,835,Clear,4,0,4
2012-10-04 05:00:00,2726,Clear,5,0,4
2012-10-04 06:00:00,5689,Clear,6,0,2
2012-10-04 07:00:00,6990,Clear,7,0,2
2012-10-04 08:00:00,5985,Clear,8,0,2
2012-10-04 09:00:00,5309,Clear,9,0,2
2012-10-04 10:00:00,4603,Clear,10,0,2
2012-10-04 11:00:00,4884,Clear,11,0,2
2012-10-04 12:00:00,5104,Clear,12,0,2
2012-10-04 13:00:00,5178,Clear,13,0,5
2012-10-04 14:00:00,5501,Clear,14,0,5
2012-10-04 15:00:00,5713,Clear,15,0,5
2012-10-04 16:00:00,6292,Clouds,16,0,5
2012-10-04 17:00:00,6057,Clouds,17,0,5
