hour,avg_traffic
0,651.68690313779
1,396.9130434782609
2,301.9828178694158
3,362.28983516483515
4,832.6610962566845
5,2701.296703296703
6,5365.983210208194
7,6030.4135593220335
8,5503.497970230041
9,4895.269257460097
10,4377.942436412316
11,4633.228673835126
12,4855.1150822015725
13,4858.881569207994
14,5152.995777621393
15,5593.061959654178
16,6189.473647224174
17,5784.8271334792125
18,4434.351633078527
19,3297.120113717129
20,2842.4330042313118
21,2673.042807017544
22,2125.913104414856
23,1379.549727520436
